detail_id,OCC_TITLE,total_emp,a_mean,a_median,h_mean,h_median,broad_id
193094,Political Scientists,6350,112250,114290,53.97,54.95,193090
193099,"Social Scientists and Related Workers, All Other",36380,80860,77020,38.87,37.03,193090
194011,Agricultural and Food Science Technicians,20420,40470,37550,19.46,18.05,194010
194021,Biological Technicians,74720,46130,42520,22.18,20.44,194020
194031,Chemical Technicians,65510,49770,45840,23.93,22.04,194030
194041,Geological and Petroleum Technicians,15100,62240,56470,29.92,27.15,194040
194051,Nuclear Technicians,6840,77820,79140,37.41,38.05,194050
194061,Social Science Research Assistants,30030,46820,43190,22.51,20.76,194060
194091,"Environmental Science and Protection Technicians, Including Health",32950,47930,44190,23.05,21.25,194090
194092,Forensic Science Technicians,14800,60690,56750,29.18,27.29,194090
194093,Forest and Conservation Technicians,30090,38630,35560,18.57,17.10,194090
194099,"Life, Physical, and Social Science Technicians, All Other",68540,49270,46040,23.69,22.14,194090
211011,Substance Abuse and Behavioral Disorder Counselors,91040,44160,41070,21.23,19.75,211010
211012,"Educational, Guidance, School, and Vocational Counselors",260670,57620,54560,27.70,26.23,211010
211013,Marriage and Family Therapists,36960,54090,49170,26.00,23.64,211010
211014,Mental Health Counselors,139820,46050,42840,22.14,20.59,211010
211015,Rehabilitation Counselors,103030,38740,34670,18.62,16.67,211010
211019,"Counselors, All Other",28380,47640,44350,22.90,21.32,211010
211021,"Child, Family, and School Social Workers",298840,47510,43250,22.84,20.79,211020
211022,Healthcare Social Workers,159310,55510,53760,26.69,25.85,211020
211023,Mental Health and Substance Abuse Social Workers,114040,47880,42700,23.02,20.53,211020
211029,"Social Workers, All Other",59540,59410,60230,28.56,28.96,211020
211091,Health Educators,57570,57900,53070,27.84,25.51,211090
211092,Probation Officers and Correctional Treatment Specialists,87500,55380,50160,26.63,24.12,211090
211093,Social and Human Service Assistants,360650,34120,31810,16.41,15.29,211090
211094,Community Health Workers,51900,41170,37330,19.80,17.95,211090
211099,"Community and Social Service Specialists, All Other",91860,45540,43120,21.89,20.73,211090
212011,Clergy,49320,49450,45740,23.77,21.99,212010
212021,"Directors, Religious Activities and Education",20590,44840,38610,21.56,18.56,212020
212099,"Religious Workers, All Other",8250,34300,28820,16.49,13.85,212090
231011,Lawyers,619530,139880,118160,67.25,56.81,231010
231012,Judicial Law Clerks,13410,59840,51760,28.77,24.89,231010
231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",14540,95240,92110,45.79,44.28,231020
231022,"Arbitrators, Mediators, and Conciliators",6300,72730,59770,34.97,28.74,231020
231023,"Judges, Magistrate Judges, and Magistrates",27210,115460,125880,55.51,60.52,231020
232011,Paralegals and Legal Assistants,277310,53180,49500,25.57,23.80,232010
232091,Court Reporters,17700,56940,51320,27.37,24.68,232090
232093,"Title Examiners, Abstractors, and Searchers",54560,51490,45800,24.75,22.02,232090
232099,"Legal Support Workers, All Other",44960,66170,54650,31.81,26.27,232090
251011,"Business Teachers, Postsecondary",83030,96770,77490,,,251010
251021,"Computer Science Teachers, Postsecondary",32540,89670,77570,,,251020
251022,"Mathematical Science Teachers, Postsecondary",52020,82650,69520,,,251020
251031,"Architecture Teachers, Postsecondary",7370,92890,79250,,,251030
251032,"Engineering Teachers, Postsecondary",38000,107490,97530,,,251030
251041,"Agricultural Sciences Teachers, Postsecondary",10340,96630,91580,,,251040
251042,"Biological Science Teachers, Postsecondary",50820,90420,76650,,,251040
251043,"Forestry and Conservation Science Teachers, Postsecondary",1750,90480,85880,,,251040
251051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",10850,95900,85410,,,251050
251052,"Chemistry Teachers, Postsecondary",21250,89320,76750,,,251050
251053,"Environmental Science Teachers, Postsecondary",5520,88880,78340,,,251050
251054,"Physics Teachers, Postsecondary",14160,97520,84570,,,251050
251061,"Anthropology and Archeology Teachers, Postsecondary",5700,91940,81350,,,251060
251062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",9060,84590,73020,,,251060
251063,"Economics Teachers, Postsecondary",13060,111520,95770,,,251060
251064,"Geography Teachers, Postsecondary",4140,84660,76810,,,251060
251065,"Political Science Teachers, Postsecondary",16720,94090,79210,,,251060
251066,"Psychology Teachers, Postsecondary",37640,84440,73140,,,251060
251067,"Sociology Teachers, Postsecondary",14580,81600,71840,,,251060
251069,"Social Sciences Teachers, Postsecondary, All Other",13320,85950,70740,,,251060
251071,"Health Specialties Teachers, Postsecondary",186740,125430,99360,,,251070
251072,"Nursing Instructors and Teachers, Postsecondary",56210,75030,69130,,,251070
251081,"Education Teachers, Postsecondary",58850,70260,62520,,,251080
251082,"Library Science Teachers, Postsecondary",4870,72340,68410,,,251080
251111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",14620,67040,59590,,,251110
251112,"Law Teachers, Postsecondary",16010,134530,111210,,,251110
251113,"Social Work Teachers, Postsecondary",11860,74280,64030,,,251110
251121,"Art, Drama, and Music Teachers, Postsecondary",99020,81050,68650,,,251120
251122,"Communications Teachers, Postsecondary",28180,74360,65640,,,251120
251123,"English Language and Literature Teachers, Postsecondary",71270,76140,63730,,,251120
251124,"Foreign Language and Literature Teachers, Postsecondary",28720,73750,63500,,,251120
251125,"History Teachers, Postsecondary",21800,80880,71820,,,251120
251126,"Philosophy and Religion Teachers, Postsecondary",23180,77420,68360,,,251120
251191,Graduate Teaching Assistants,135130,35810,34240,,,251190
251192,"Home Economics Teachers, Postsecondary",2970,72790,69190,,,251190
251193,"Recreation and Fitness Studies Teachers, Postsecondary",17390,67870,59180,,,251190
251194,"Vocational Education Teachers, Postsecondary",116430,55730,50660,26.80,24.36,251190
251199,"Postsecondary Teachers, All Other",194870,73990,64400,,,251190
252011,"Preschool Teachers, Except Special Education",385550,33300,28790,16.01,13.84,252010
252012,"Kindergarten Teachers, Except Special Education",151290,55460,52620,,,252010
252021,"Elementary School Teachers, Except Special Education",1392660,59020,55800,,,252020
252022,"Middle School Teachers, Except Special and Career/Technical Education",626310,59800,56720,,,252020
252023,"Career/Technical Education Teachers, Middle School",12730,60350,57560,,,252020
252031,"Secondary School Teachers, Except Special and Career/Technical Education",1003250,61420,58030,,,252030
252032,"Career/Technical Education Teachers, Secondary School",80100,59480,57320,,,252030
252051,"Special Education Teachers, Preschool",28140,56990,52460,,,252050
252052,"Special Education Teachers, Kindergarten and Elementary School",190530,60090,57040,,,252050
252053,"Special Education Teachers, Middle School",90250,61910,58560,,,252050
252054,"Special Education Teachers, Secondary School",132490,64020,59700,,,252050
252059,"Special Education Teachers, All Other",40190,59450,53860,,,252050
253011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,58810,55140,50650,26.51,24.35,253010
253021,Self-Enrichment Education Teachers,229840,43150,37330,20.75,17.95,253020
253097,"Teachers and Instructors, All Other, Except Substitute Teachers",292950,47570,39570,,,253090
253098,Substitute Teachers,609960,30900,28010,14.86,13.47,253090
254011,Archivists,5760,54570,50500,26.24,24.28,254010
254012,Curators,11170,58910,53360,28.32,25.66,254010
254013,Museum Technicians and Conservators,10970,44780,40040,21.53,19.25,254010
254021,Librarians,129350,59870,57680,28.78,27.73,254020
254031,Library Technicians,93410,34780,32890,16.72,15.81,254030
259011,Audio-Visual and Multimedia Collections Specialists,10300,50130,47840,24.10,23.00,259010
259021,Farm and Home Management Advisors,8620,52150,49490,25.07,23.79,259020
259031,Instructional Coordinators,147330,65500,62460,31.49,30.03,259030
259041,Teacher Assistants,1263820,27120,25410,,,259040
259099,"Education, Training, and Library Workers, All Other",100640,46970,42600,22.58,20.48,259090
271011,Art Directors,36210,101170,89820,48.64,43.18,271010
271012,Craft Artists,5070,38900,33440,18.70,16.08,271010
271013,"Fine Artists, Including Painters, Sculptors, and Illustrators",11520,57410,50790,27.60,24.42,271010
271014,Multimedia Artists and Animators,29810,72200,65300,34.71,31.40,271010
271019,"Artists and Related Workers, All Other",7010,64630,61360,31.07,29.50,271010
271021,Commercial and Industrial Designers,31860,70880,67790,34.08,32.59,271020
271022,Fashion Designers,19230,76480,65170,36.77,31.33,271020
271023,Floral Designers,43990,27610,25850,13.27,12.43,271020
271024,Graphic Designers,210710,52290,47640,25.14,22.90,271020
271025,Interior Designers,53160,56220,49810,27.03,23.95,271020
271026,Merchandise Displayers and Window Trimmers,114690,30090,26700,14.47,12.83,271020
271027,Set and Exhibit Designers,12060,57600,50990,27.69,24.51,271020
271029,"Designers, All Other",7230,63270,53380,30.42,25.66,271020
272011,Actors,48620,*,*,39.84,18.70,272010
272012,Producers and Directors,114510,93840,70950,45.12,34.11,272010
272021,Athletes and Sports Competitors,10260,83730,47710,,,272020
272022,Coaches and Scouts,230930,41000,31460,,,272020
272023,"Umpires, Referees, and Other Sports Officials",18660,35540,25660,,,272020
272031,Dancers,10060,*,*,18.29,13.74,272030
272032,Choreographers,5160,53610,48240,25.77,23.19,272030
272041,Music Directors and Composers,18380,60630,50110,29.15,24.09,272040
272042,Musicians and Singers,40110,*,*,34.56,25.14,272040
272099,"Entertainers and Performers, Sports and Related Workers, All Other",13150,*,*,23.20,17.34,272090
273011,Radio and Television Announcers,29210,48170,31400,23.16,15.10,273010
273012,Public Address System and Other Announcers,8020,42740,28940,20.55,13.91,273010
273021,Broadcast News Analysts,5070,78200,56680,37.60,27.25,273020
273022,Reporters and Correspondents,40090,49770,37820,23.93,18.18,273020
273031,Public Relations Specialists,226940,66540,58020,31.99,27.89,273030
273041,Editors,97170,66080,57210,31.77,27.51,273040
273042,Technical Writers,49780,73160,69850,35.18,33.58,273040
273043,Writers and Authors,44690,71920,61240,34.58,29.44,273040
273091,Interpreters and Translators,51350,51260,46120,24.64,22.17,273090
273099,"Media and Communication Workers, All Other",23310,50860,43600,24.45,20.96,273090
274011,Audio and Video Equipment Technicians,69670,47450,42230,22.81,20.30,274010
274012,Broadcast Technicians,30330,45430,38550,21.84,18.54,274010
274013,Radio Operators,870,46780,46250,22.49,22.24,274010
274014,Sound Engineering Technicians,15210,65240,53680,31.37,25.81,274010
274021,Photographers,48660,42640,34070,20.50,16.38,274020
274031,"Camera Operators, Television, Video, and Motion Picture",21710,63200,55080,30.38,26.48,274030
274032,Film and Video Editors,29880,82190,62760,39.52,30.18,274030
